Title,Genres,Release Date,Release Year,Release Month,Release Country,Movie Rating,Review Rating,Movie Run Time,Language
Range 15 (2016), Comedy| Horror,15-Jun-16,2016,Jun,USA,,5.4,89 min,English
The Hollow One (2015), Horror| Sci-Fi| Thriller,1-Jul-17,2017,Jul,USA,NOT RATED,4.7,95 min,English
Preservation (2014), Horror| Thriller,9-Jan-15,2015,Jan,USA,NOT RATED,4.7,90 min,English
Fresh Meat (2012), Comedy| Horror,25-Oct-12,2012,Oct,New Zealand,TV-MA,5.4,91 min,English
Burning Bright (2010), Drama| Horror| Thriller,2-May-12,2012,May,Bahrain,PG-13,5.9,86 min,English
Nocturne (2016), Horror,17-Jul-16,2016,Jul,USA,NOT RATED,4.7,90 min,English
The Canal (2014), Horror| Mystery| Thriller,10-Oct-14,2014,Oct,USA,NOT RATED,5.9,92 min,English
Camera Obscura (2017), Horror| Thriller,9-Jun-17,2017,Jun,USA,NOT RATED,4.7,95 min,English
Frankenstein (2015), Horror| Thriller,29-Oct-15,2015,Oct,Turkey,R,5.1,89 min,English
The Diabolical (2015), Horror| Sci-Fi,13-Aug-15,2015,Aug,Kuwait,TV-MA,4.7,86 min,English
Exeter (2015), Horror| Mystery| Thriller,1-Jan-15,2015,Jan,USA,R,4.6,91 min,English
Berserk: The Golden Age Arc III - The Advent (2013), Animation| Action| Adventure| Fantasy| Horror,1-Feb-13,2013,Feb,Japan,TV-MA,8.0,110 min,Japanese|English
Starve (2014), Horror| Thriller,3-Oct-14,2014,Oct,Spain,,4.8,98 min,English
Dead Before Dawn 3D (2012), Adventure| Comedy| Horror,11-Oct-12,2012,Oct,Russia,R,5.1,88 min,English
Circus Kane (2017), Horror,8-Sep-17,2017,Sep,USA,,4.5,88 min,English
Mockingbird (2014), Horror| Thriller,7-Oct-14,2014,Oct,USA,NOT RATED,4.1,81 min,English
Ajin: Demi-Human (2017), Action| Horror| Mystery,30-Sep-17,2017,Sep,Japan,,8.0,,Japanese
Ghosts of Darkness (2017), Horror,1-Mar-17,2017,Mar,USA,,4.7,,English
They're Watching (2016), Comedy| Horror| Thriller,25-Mar-16,2016,Mar,USA,NOT RATED,5.7,95 min,English|Romanian
Avalanche Sharks (2014), Action| Horror| Sci-Fi,12-Jan-14,2014,Jan,USA,NOT RATED,2.3,82 min,English
Evolution (2015), Horror| Mystery| Sci-Fi,25-Nov-16,2016,Nov,USA,NOT RATED,6.0,81 min,French
Machhli Jal Ki Rani Hai (2014), Horror,13-Jun-14,2014,Jun,India,,4.4,120 min,Hindi
The Evil Within (2014), Animation| Horror,20-Nov-14,2014,Nov,USA,,7.4,122 min,English
Dracula 3D (2012), Horror| Romance| Thriller,4-Oct-13,2013,Oct,USA,NOT RATED,3.6,110 min,English|Italian|Spanish
The Final (2010), Drama| Horror| Thriller,7-Feb-13,2013,Feb,Bahrain,R,5.4,93 min,English
The Last Heist (2016), Action| Horror| Thriller,17-Jun-16,2016,Jun,USA,TV-MA,3.5,84 min,English
The Blood Lands (2014), Horror| Mystery| Thriller,1-Sep-15,2015,Sep,USA,R,4.7,79 min,English
It Came from the Desert (2017), Action| Comedy| Horror,2017,2017,Jan,Finland,,6.3,89 min,English
Night of Something Strange (2016), Comedy| Horror,22-Nov-16,2016,Nov,USA,,4.7,94 min,English
Aliens: Zone of Silence (2017), Horror| Mystery| Sci-Fi,24-Oct-17,2017,Oct,USA,TV-MA,6.5,79 min,English
Some Kind of Hate (2015), Horror,18-Sep-15,2015,Sep,USA,NOT RATED,4.5,82 min,English
Strippers vs Werewolves (2012), Comedy| Horror,24-Nov-12,2012,Nov,USA,,3.1,93 min,English
Summer Camp (2015), Horror,10-Jun-16,2016,Jun,Spain,R,5.1,81 min,English|Spanish
Dead Shack (2017), Horror,2-Jul-17,2017,Jul,Switzerland,,6.5,85 min,English
Blood Punch (2014), Horror| Thriller,21-Feb-14,2014,Feb,USA,NOT RATED,6.5,104 min,English
Death Do Us Part (2014), Horror| Thriller,15-Apr-14,2014,Apr,USA,R,4.3,89 min,English
Aftermath (2015), Horror| Thriller,27-Mar-15,2015,Mar,USA,NOT RATED,4.7,92 min,English
Minutes Past Midnight (2016), Horror| Thriller,18-Oct-16,2016,Oct,USA,,5.0,98 min,English|Spanish
Dark Signal (2016), Horror| Mystery| Thriller,2-Jun-17,2017,Jun,USA,,4.3,98 min,English
I Had a Bloody Good Time at House Harker (2016), Comedy| Horror,8-Oct-16,2016,Oct,USA,,5.8,80 min,English
Wtf! (2017), Horror,1-Aug-17,2017,Aug,USA,,4.0,80 min,English
Suburban Gothic (2014), Comedy| Horror,30-Jan-15,2015,Jan,USA,R,5.5,90 min,English
Poultrygeist: Night of the Chicken Dead (2006), Comedy| Horror| Musical| Sci-Fi,6-Jul-12,2012,Jul,USA,NOT RATED,6.2,103 min,English
Halloween Pussy Trap Kill Kill (2017), Horror,27-Oct-17,2017,Oct,USA,,3.6,86 min,English
Birdemic 2: The Resurrection (2013), Action| Comedy| Horror,16-Apr-13,2013,Apr,USA,NOT RATED,1.7,,English
Charlie's Farm (2014), Comedy| Horror,4-Dec-14,2014,Dec,Australia,NOT RATED,4.6,93 min,English
The Bunny Game (2011), Horror,31-Jul-12,2012,Jul,USA,NOT RATED,3.5,76 min,English
Never Hike Alone (2017), Horror| Thriller,13-Oct-17,2017,Oct,USA,,7.8,22 min,English
When Animals Dream (2014), Drama| Horror| Mystery,28-Aug-15,2015,Aug,USA,R,5.8,84 min,Danish
Intruder (2016), Horror| Thriller,24-Jun-16,2016,Jun,USA,NOT RATED,3.4,88 min,English
Krampus: The Christmas Devil (2013), Action| Horror| Thriller,17-Aug-13,2013,Aug,USA,,1.7,82 min,English
Dead 7 (2016), Comedy| Horror| Western,1-Apr-16,2016,Apr,USA,TV-14,3.1,89 min,English
The Terror of Hallow's Eve (2017), Drama| Fantasy| Horror| Thriller,2017,2017,Jan,USA,,5.6,80 min,English
The Keeping Hours (2017), Drama| Horror| Romance| Thriller,15-Jun-17,2017,Jun,USA,PG-13,7.7,,English
Terrifier (2017), Horror| Thriller,1-Sep-17,2017,Sep,USA,,7.8,82 min,English
The Sublet (2015), Drama| Horror| Mystery| Thriller,11-Apr-16,2016,Apr,USA,TV-14,4.9,82 min,English
Exists (2014), Action| Adventure| Horror,3-Oct-14,2014,Oct,USA,R,5.2,81 min,English
ABCs of Death 2 (2014), Comedy| Horror,2-Oct-14,2014,Oct,USA,NOT RATED,5.4,125 min,English|Japanese|Hebrew|Portuguese|French|Arabic|Filipino|German
Come Back to Me (2014), Fantasy| Horror| Mystery| Thriller,25-Jul-14,2014,Jul,USA,R,5.9,90 min,English
Childish Games (2012), Horror| Thriller,9-Mar-12,2012,Mar,Spain,,5.5,95 min,Spanish
Blood Feast (2016), Horror,23-Jun-17,2017,Jun,USA,R,8.2,90 min,English
Scorned (2013), Comedy| Crime| Horror| Thriller,4-Feb-14,2014,Feb,USA,R,4.7,,English
Strip Club Massacre (2017), Horror| Thriller,2-May-17,2017,May,USA,,3.2,101 min,English|English
The Boy (2015), Drama| Horror| Thriller,14-Mar-15,2015,Mar,USA,NOT RATED,5.5,105 min,English
Kiss of the Damned (2012), Drama| Horror| Romance,28-Mar-13,2013,Mar,USA,R,5.6,,English
[REC] 3: Genesis (2012), Horror| Romance,30-Mar-12,2012,Mar,Spain,R,5.0,80 min,Spanish|Catalan|French
The Bride (2017), Horror| Mystery| Thriller,19-Jan-17,2017,Jan,Russia,,4.8,,Russian
Jeruzalem (2015), Horror,7-Jul-16,2016,Jul,Israel,R,4.7,94 min,English
Bed of the Dead (2016), Horror,3-Dec-16,2016,Dec,USA,,4.8,88 min,English
The Hive (2015), Horror| Sci-Fi| Thriller,14-Sep-15,2015,Sep,USA,R,5.2,93 min,English|Russian
Nosferatu (2017), Horror,31-Oct-17,2017,Oct,USA,,,,English
The Blackburn Asylum (2015), Horror,2-Aug-16,2016,Aug,USA,R,3.9,84 min,English
Peelers (2016), Horror,28-Mar-17,2017,Mar,USA,,4.4,95 min,English
Carnage Park (2016), Action| Crime| Horror| Thriller,1-Jul-16,2016,Jul,USA,NOT RATED,4.9,90 min,English
The Harvest (2013), Drama| Horror| Mystery| Thriller,10-Apr-15,2015,Apr,USA,NOT RATED,6.0,104 min,English
Journey to the West (2013), Action| Adventure| Comedy| Drama| Fantasy| Horror| Romance,7-Feb-13,2013,Feb,China,PG-13,6.8,110 min,Mandarin
Dead Story (2017), Horror,20-Jan-17,2017,Jan,USA,,5.0,81 min,English
Honeymoon (2015), Horror| Thriller,21-Oct-16,2016,Oct,Mexico,,4.7,96 min,Spanish
All Cheerleaders Die (2013), Fantasy| Horror,8-May-14,2014,May,USA,NOT RATED,5.1,89 min,English
Dead Snow 2: Red vs. Dead (2014), Action| Comedy| Horror,7-Oct-14,2014,Oct,USA,R,6.9,100 min,Norwegian|English|German
Disaster L.A. (2014), Action| Horror| Sci-Fi,23-Sep-14,2014,Sep,USA,NOT RATED,3.5,82 min,
#Horror (2015), Drama| Horror| Mystery| Thriller,20-Nov-15,2015,Nov,USA,NOT RATED,3.1,101 min,English
The Curse of Downers Grove (2015), Drama| Horror| Mystery| Thriller,21-Aug-15,2015,Aug,USA,NOT RATED,4.5,89 min,English
Dark House (2014), Horror| Thriller,4-Mar-14,2014,Mar,USA,R,4.7,102 min,English
Escape from Tomorrow (2013), Drama| Fantasy| Horror,19-Jul-14,2014,Jul,Japan,NOT RATED,5.2,90 min,English|French
The Rizen (2017), Action| Horror| Sci-Fi,19-Jun-17,2017,Jun,UK,,4.2,94 min,English
Potato Salad (2015), Comedy| Horror,23-Jul-15,2015,Jul,Germany,,1.3,81 min,German
Halloween: The Return of Laurie Strode (2017), Horror,18-Sep-17,2017,Sep,USA,,9.1,,English
Anomalous (2016), Fantasy| Horror| Thriller,8-Apr-16,2016,Apr,USA,,4.5,100 min,English
Demon (2015), Comedy| Horror| Thriller,9-Sep-16,2016,Sep,USA,R,6.1,94 min,Polish|English|Yiddish
Vampyres (2015), Horror,29-May-15,2015,May,Spain,NOT RATED,3.3,76 min,English
The Windmill (2016), Drama| Horror,25-Oct-16,2016,Oct,USA,,4.8,85 min,English
Nothing Left to Fear (2013), Horror,26-Sep-13,2013,Sep,Russia,R,4.4,100 min,English
The Charnel House (2016), Horror| Thriller,4-Nov-16,2016,Nov,USA,R,4.7,90 min,English
The Haunting in Connecticut 2: Ghosts of Georgia (2013), Drama| Horror| Mystery| Thriller,14-Mar-13,2013,Mar,Singapore,R,5.3,101 min,English
Alleluia! The Devil's Carnival (2016), Horror| Musical,29-Mar-16,2016,Mar,USA,,7.0,97 min,English
Don't Let Me Go (2013), Adventure| Fantasy| Horror,1-Oct-16,2016,Oct,USA,,6.8,96 min,English
The Evil in Us (2016), Horror,29-Aug-17,2017,Aug,USA,NOT RATED,5.7,90 min,English
7 Witches (2017), Horror| Thriller,14-Apr-17,2017,Apr,USA,NOT RATED,3.6,75 min,English
Fanged Up (2017), Comedy| Horror,25-Aug-17,2017,Aug,UK,,5.8,,English
Restoration (2016), Horror,3-May-16,2016,May,USA,,4.0,92 min,English
The Atticus Institute (2015), Horror,5-Jan-15,2015,Jan,USA,NOT RATED,5.5,83 min,English
Open Grave (2013), Horror| Mystery| Thriller,3-Jan-14,2014,Jan,USA,R,6.3,102 min,English
Puppet Master: Axis Termination (2017), Fantasy| Horror| Sci-Fi| War,15-Sep-17,2017,Sep,USA,,5.6,,English
Child Eater (2016), Horror,28-Oct-16,2016,Oct,Iceland,,5.2,82 min,English
Halloween Awakening: The Legacy of Michael Myers (2012), Horror,31-Oct-12,2012,Oct,USA,,5.9,47 min,English
Jack & Diane (2012), Drama| Horror| Romance,20-Apr-12,2012,Apr,USA,R,4.5,110 min,English
Banshee Chapter (2013), Horror| Sci-Fi| Thriller,12-Dec-13,2013,Dec,USA,R,5.5,87 min,English
[REC] 4: Apocalypse (2014), Action| Horror,31-Oct-14,2014,Oct,Spain,R,5.4,95 min,Spanish
Cyborg X (2016), Action| Horror| Sci-Fi,2016,2016,Jan,USA,,4.6,90 min,English
Wildling (2017), Drama| Fantasy| Horror| Mystery,2017,2017,Jan,USA,,,92 min,English
Patrick (2013), Horror,14-Mar-14,2014,Mar,USA,NOT RATED,4.9,96 min,English
Man Vs. (2015), Horror| Sci-Fi| Thriller,13-Nov-15,2015,Nov,Canada,,5.5,87 min,English
Road Games (2015), Horror| Mystery| Thriller,4-Mar-16,2016,Mar,USA,NOT RATED,5.7,95 min,English|French
Alien Uprising (2012), Comedy| Horror| Sci-Fi,14-Dec-13,2013,Dec,UK,R,3.1,101 min,English
Rigor Mortis (2013), Action| Horror,6-Jun-14,2014,Jun,USA,NOT RATED,6.3,103 min,Cantonese
The Grinn (2017), Drama| Horror| Thriller,6-Oct-17,2017,Oct,USA,,5.2,96 min,English
ClownTown (2016), Horror| Thriller,30-Sep-16,2016,Sep,USA,,3.9,86 min,English
Backtrack (2015), Drama| Horror| Mystery| Thriller,29-Jan-16,2016,Jan,UK,R,5.9,90 min,English
The Stakelander (2016), Action| Horror,7-Feb-17,2017,Feb,USA,TV-MA,5.3,81 min,English
A Field in England (2013), Drama| History| Horror| Mystery,5-Jul-13,2013,Jul,UK,NOT RATED,6.3,90 min,English
Stung (2015), Comedy| Horror,29-Oct-15,2015,Oct,Germany,NOT RATED,5.0,87 min,English
Something Wicked (2014), Drama| Horror| Mystery| Thriller,11-Apr-14,2014,Apr,USA,R,4.8,,English
Residue (2015), Horror| Mystery,31-Mar-15,2015,Mar,USA,,5.4,102 min,English
Replace (2017), Horror| Thriller,2-Sep-17,2017,Sep,Germany,,5.6,101 min,English
L.A. Slasher (2015), Crime| Drama| Horror,24-Jun-16,2016,Jun,USA,R,3.5,86 min,English
Jug Face (2013), Drama| Horror| Thriller,8-Jul-13,2013,Jul,USA,R,5.2,,English
Kuso (2017), Drama| Horror,21-Jul-17,2017,Jul,USA,,5.1,105 min,English
The Girl in the Photographs (2015), Crime| Horror| Thriller,1-Apr-16,2016,Apr,USA,R,4.5,95 min,English
The Bunnyman Massacre (2014), Horror,18-Apr-14,2014,Apr,USA,NOT RATED,4.1,,English
The Barrens (2012), Horror,30-Nov-12,2012,Nov,Germany,R,4.6,94 min,English
Reichsführer-SS (2015), Horror| Thriller| War,21-Nov-15,2015,Nov,USA,,5.1,93 min,English
Dobaara: See Your Evil (2017), Horror| Mystery,2-Jun-17,2017,Jun,USA,,4.4,106 min,Hindi|English
Johnny Frank Garrett's Last Word (2016), Crime| Drama| Horror| Thriller,21-Apr-17,2017,Apr,Poland,NOT RATED,5.0,95 min,English
Even Lambs Have Teeth (2015), Horror| Thriller,2015,2015,Jan,USA,,4.9,78 min,English
Into the Grizzly Maze (2015), Action| Horror| Thriller,13-Aug-15,2015,Aug,Kuwait,R,5.3,94 min,English|American Sign Language
Bastard (2015), Horror,16-Oct-15,2015,Oct,USA,R,4.6,82 min,English
Resident Evil: Damnation (2012), Animation| Action| Horror| Sci-Fi| Thriller,27-Oct-12,2012,Oct,Japan,R,6.5,100 min,
Thanatomorphose (2012), Horror,21-Jan-14,2014,Jan,USA,NOT RATED,4.7,100 min,English
Hostile (2017), Drama| Horror,13-Sep-17,2017,Sep,USA,,6.5,83 min,English
The Abandoned (2015), Horror| Mystery| Thriller,13-Jun-15,2015,Jun,USA,NOT RATED,5.0,86 min,English
Night of the Living Deb (2015), Comedy| Horror| Romance,8-Oct-15,2015,Oct,USA,,5.5,85 min,English
Hell Baby (2013), Comedy| Horror,1-Mar-14,2014,Mar,UK,R,4.9,98 min,English
The Promise (2017), Drama| Horror| Thriller,7-Sep-17,2017,Sep,Thailand,,6.8,114 min,Thai
Alpha Delta Zatan (2017), Horror| Mystery| Thriller,24-Oct-17,2017,Oct,USA,,,,English
The Lodgers (2017), Horror,8-Sep-17,2017,Sep,Canada,,6.3,92 min,English
Dark Touch (2013), Horror,19-Mar-14,2014,Mar,France,NOT RATED,4.8,90 min,English
Totem (2017), Horror,31-Oct-17,2017,Oct,USA,,,89 min,English
Harbinger Down (2015), Horror| Sci-Fi,7-Aug-15,2015,Aug,USA,R,4.5,82 min,English
Blood Brothers (2015), Drama| Horror| Thriller,3-Oct-15,2015,Oct,USA,,3.6,98 min,English
Happy Birthday (2016), Horror| Thriller,2016,2016,Jan,USA,R,5.1,90 min,English
Angelica (2015), Drama| Horror| Thriller,10-Oct-15,2015,Oct,USA,,6.1,95 min,English|Italian
Jaws 19 (2015), Action| Horror| Sci-Fi| Thriller,16-Sep-15,2015,Sep,Russia,,4.8,63 min,Russian
Trash Fire (2016), Comedy| Drama| Horror| Romance,3-Nov-16,2016,Nov,USA,R,5.8,91 min,English
Attack of the Lederhosen Zombies (2016), Comedy| Horror,13-Jan-17,2017,Jan,USA,TV-MA,4.5,78 min,German|English
The Bay (2012), Horror| Sci-Fi| Thriller,21-Nov-12,2012,Nov,Belgium,R,5.6,84 min,English
Bad Blood: The Movie (2016), Fantasy| Horror| Sci-Fi,1-Apr-16,2016,Apr,USA,TV-14,4.3,80 min,English
Dr. Jekyll and Mr. Hyde (2017), Horror,2017,2017,Jan,USA,,7.2,83 min,English
The Axe Murders of Villisca (2016), Horror,5-May-17,2017,May,Mexico,NOT RATED,4.2,78 min,English
The Barn (2016), Horror,2016,2016,Jan,USA,NOT RATED,5.9,90 min,English
Don't Fuck in the Woods (2016), Horror,25-Oct-16,2016,Oct,USA,UNRATED,2.6,73 min,English
Black Rock (2012), Horror| Thriller,17-May-13,2013,May,USA,R,4.7,,English
The Jungle (2013), Horror| Thriller,2013,2013,Jan,Australia,R,4.0,84 min,English
Alien Abduction (2014), Horror| Sci-Fi| Thriller,1-May-14,2014,May,Singapore,NOT RATED,4.9,85 min,English
Afflicted (2013), Horror| Mystery| Thriller,27-Jan-15,2015,Jan,Japan,R,6.3,85 min,English|French|Italian
Static (2012), Drama| Horror| Mystery| Thriller,1-Nov-12,2012,Nov,USA,NOT RATED,5.4,83 min,English
Tigers Are Not Afraid (2017), Fantasy| Horror,24-Sep-17,2017,Sep,USA,,7.4,,Spanish
The Revenant (2009), Comedy| Fantasy| Horror,24-Aug-12,2012,Aug,USA,R,6.3,117 min,English
Raze (2013), Action| Drama| Horror,16-Jan-14,2014,Jan,Kuwait,R,5.2,87 min,English
Awaken (2015), Action| Horror| Mystery| Thriller,7-Jul-15,2015,Jul,USA,R,3.4,89 min,English
Vamp U (2011), Action| Comedy| Horror,27-Feb-13,2013,Feb,USA,NOT RATED,4.0,100 min,English
Tonight She Comes (2016), Horror,29-Oct-16,2016,Oct,USA,,3.9,84 min,English
Anabel (2015), Horror| Mystery,11-Oct-15,2015,Oct,Spain,,4.6,75 min,Spanish
Belladonna of Sadness (1973), Animation| Drama| Fantasy| Horror,12-Jul-16,2016,Jul,USA,UNRATED,7.4,86 min,Japanese
Contracted: Phase II (2015), Drama| Horror| Thriller,4-Sep-15,2015,Sep,USA,NOT RATED,5.1,78 min,English
Truth or Die (2012), Horror| Mystery,6-Aug-12,2012,Aug,UK,NOT RATED,5.6,96 min,English
The Wicked Within (2015), Horror,16-Oct-15,2015,Oct,USA,R,4.6,84 min,English
The Lost Tree (2016), Drama| Horror| Thriller,18-Mar-16,2016,Mar,USA,,7.8,88 min,English
Cockneys vs Zombies (2012), Action| Comedy| Crime| Fantasy| Horror,2-Aug-13,2013,Aug,USA,NOT RATED,5.9,88 min,English
Knights of the Damned (2017), Action| Fantasy| Horror,25-Sep-17,2017,Sep,UK,,4.4,84 min,English
Anna (2017), Horror,1-Mar-17,2017,Mar,USA,,4.9,,English
Witching and Bitching (2013), Comedy| Horror,27-Sep-13,2013,Sep,Spain,UNRATED,6.4,110 min,Spanish
Extraterrestrial (2014), Horror| Sci-Fi,17-Oct-14,2014,Oct,USA,NOT RATED,5.0,101 min,English
Moebius (2013), Drama| Horror,29-Aug-14,2014,Aug,USA,UNRATED,6.5,89 min,None
The Forgotten (2014), Horror,15-Nov-15,2015,Nov,Mexico,UNRATED,5.2,89 min,English
Sadako vs. Kayako (2016), Horror,18-Jun-16,2016,Jun,Japan,NOT RATED,5.2,98 min,Japanese
The Tortured (2010), Horror| Thriller,28-Sep-12,2012,Sep,Norway,R,5.5,79 min,English
Resurrection (2015), Horror,7-Jan-16,2016,Jan,Argentina,,5.3,,Spanish
The Devil's Hand (2014), Horror| Thriller,6-Nov-14,2014,Nov,Mexico,PG-13,4.9,86 min,English
The Last Exorcism Part II (2013), Drama| Horror| Thriller,1-Mar-13,2013,Mar,USA,PG-13,4.0,88 min,English
Hell (2011), Horror| Sci-Fi| Thriller,10-Jul-12,2012,Jul,USA,R,5.9,,German|French
Shelley (2016), Drama| Horror,29-Jul-16,2016,Jul,USA,NOT RATED,5.2,92 min,Danish|English|Norwegian|Swedish|Romanian
Zoombies (2016), Action| Horror| Sci-Fi,1-Mar-16,2016,Mar,USA,TV-14,3.4,87 min,English
Avenged (2013), Action| Fantasy| Horror| Thriller,6-Mar-15,2015,Mar,USA,,5.6,95 min,English
Little Monsters (2012), Crime| Drama| Horror| Thriller,1-May-13,2013,May,USA,NOT RATED,4.8,107 min,English
The House on Pine Street (2015), Drama| Horror,17-Feb-16,2016,Feb,Kuwait,,5.3,111 min,English
Estranged (2015), Horror| Thriller,29-Aug-15,2015,Aug,UK,,5.5,101 min,English
Revelator (2017), Horror,25-Aug-17,2017,Aug,USA,,8.1,109 min,English
The Devil's Carnival (2012), Horror| Musical,30-Mar-12,2012,Mar,USA,NOT RATED,6.5,56 min,English
The Houses October Built (2014), Horror| Thriller,10-Oct-14,2014,Oct,USA,NOT RATED,5.1,91 min,English
Deathgasm (2015), Comedy| Horror| Music,2-Oct-15,2015,Oct,USA,NOT RATED,6.3,86 min,English
Deliver Us from Evil (2014), Horror| Mystery| Thriller,2-Jul-14,2014,Jul,USA,R,6.2,118 min,English|Spanish|Latin|Italian
Southbound (2015), Fantasy| Horror| Thriller,9-Feb-16,2016,Feb,USA,R,5.9,89 min,English
Zombies (2017), Action| Horror,29-Sep-17,2017,Sep,USA,NOT RATED,2.9,82 min,English
Creep (2014), Horror| Thriller,23-Jun-15,2015,Jun,USA,R,6.2,77 min,English
The Dead Room (2015), Horror| Thriller,8-Apr-16,2016,Apr,USA,NOT RATED,4.8,80 min,English
Howl (2015), Comedy| Fantasy| Horror,16-Oct-15,2015,Oct,UK,NOT RATED,5.3,89 min,English
Horror Story (2013), Horror,2-May-14,2014,May,USA,,4.7,91 min,Hindi
The Little Vampire 3D (2017), Animation| Adventure| Comedy| Family| Fantasy| Horror,4-Oct-17,2017,Oct,Netherlands,,6.2,83 min,English|Dutch
Ouija: Origin of Evil (2016), Horror| Thriller,21-Oct-16,2016,Oct,USA,PG-13,6.1,99 min,English|Ukrainian
The Atoning (2017), Drama| Horror| Thriller,5-Sep-17,2017,Sep,USA,TV-MA,4.1,89 min,English
Berberian Sound Studio (2012), Drama| Horror| Thriller,31-Aug-12,2012,Aug,UK,NOT RATED,6.2,92 min,English|Italian
Lake Alice (2017), Horror,18-Jul-17,2017,Jul,USA,,4.3,80 min,English
Dead Awake (2016), Horror| Thriller,12-May-17,2017,May,USA,NOT RATED,4.7,99 min,English
Ghost House (2017), Horror| Thriller,25-Aug-17,2017,Aug,USA,,4.6,89 min,English|Thai
Double Date (2017), Comedy| Horror,13-Oct-17,2017,Oct,UK,,7.0,89 min,English
Tag (2015), Action| Fantasy| Horror| Mystery,11-Jul-15,2015,Jul,Japan,,6.2,85 min,Japanese
Girl House (2014), Horror| Thriller,14-Feb-15,2015,Feb,USA,NOT RATED,5.5,99 min,English
The Amityville Terror (2016), Horror,1-Apr-16,2016,Apr,USA,,3.1,84 min,English
Hellions (2015), Horror| Thriller,22-Sep-16,2016,Sep,Kuwait,NOT RATED,4.3,80 min,English
Alena (2015), Drama| Horror| Thriller,19-Aug-16,2016,Aug,Sweden,TV-MA,5.7,83 min,Swedish
The Remaining (2014), Horror| Thriller,24-Sep-14,2014,Sep,Philippines,PG-13,4.3,88 min,English
Scouts Guide to the Zombie Apocalypse (2015), Action| Comedy| Horror,30-Oct-15,2015,Oct,USA,R,6.3,93 min,English
Robert (2015), Horror,24-Aug-15,2015,Aug,UK,,3.2,90 min,
Girls Gone Dead (2012), Comedy| Horror,28-Mar-12,2012,Mar,USA,R,3.5,104 min,English
Housebound (2014), Comedy| Horror| Mystery,4-Sep-14,2014,Sep,New Zealand,NOT RATED,6.8,107 min,English
Yoga Hosers (2016), Comedy| Fantasy| Horror| Thriller,2-Sep-16,2016,Sep,USA,PG-13,4.3,88 min,English|French|German
The Unspoken (2015), Horror| Thriller,28-Oct-16,2016,Oct,USA,UNRATED,4.9,91 min,English
The Evil Within (2017), Horror,30-Aug-17,2017,Aug,Indonesia,NOT RATED,5.6,98 min,English
The Untamed (2016), Drama| Horror| Sci-Fi| Thriller,21-Jul-17,2017,Jul,USA,NOT RATED,6.6,98 min,Spanish|English
Mercy (2014), Horror| Thriller,7-Oct-14,2014,Oct,USA,R,5.0,79 min,English
Visions (2015), Horror| Mystery,19-Jan-16,2016,Jan,USA,R,5.3,82 min,English|Spanish
Death Note (2017), Adventure| Crime| Drama| Fantasy| Horror| Mystery| Thriller,25-Aug-17,2017,Aug,USA,TV-MA,4.6,101 min,English
Escape Room (2017), Horror,1-Sep-17,2017,Sep,Russia,R,4.4,86 min,Arabic|English
World War Z (2013), Action| Adventure| Horror| Sci-Fi| Thriller,21-Jun-13,2013,Jun,USA,PG-13,7.0,116 min,English|Spanish|Hebrew|Arabic
Leprechaun: Origins (2014), Fantasy| Horror,22-Aug-14,2014,Aug,USA,R,3.3,90 min,English
The Forest (2016), Horror| Mystery| Thriller,8-Jan-16,2016,Jan,USA,PG-13,4.8,93 min,English|Japanese
Bleed (2016), Horror| Thriller,1-Mar-16,2016,Mar,USA,TV-MA,3.6,82 min,English
Lycan (2017), Horror,4-Aug-17,2017,Aug,USA,,4.2,87 min,English
Jeepers Creepers III (2017), Horror| Mystery| Thriller,26-Sep-17,2017,Sep,USA,NOT RATED,5.7,100 min,English
We Are Still Here (2015), Horror,8-Dec-15,2015,Dec,Netherlands,NOT RATED,5.7,84 min,English
The Night Watchmen (2017), Comedy| Horror,4-Mar-17,2017,Mar,USA,,5.4,80 min,English
Phoenix Forgotten (2017), Horror| Mystery| Sci-Fi| Thriller,21-Apr-17,2017,Apr,USA,PG-13,5.2,87 min,English
Chernobyl Diaries (2012), Horror| Mystery| Thriller,25-May-12,2012,May,USA,R,5.0,86 min,English
Hounds of Love (2016), Crime| Drama| Horror| Mystery| Thriller,12-May-17,2017,May,USA,NOT RATED,6.6,108 min,English
Ten (2017), Horror| Mystery| Thriller,16-Sep-17,2017,Sep,USA,,4.5,,English
It Follows (2014), Horror| Mystery,27-Mar-15,2015,Mar,USA,R,6.9,100 min,English
The Blackcoat's Daughter (2015), Horror| Thriller,16-Feb-17,2017,Feb,USA,R,5.8,93 min,English
Cold Skin (2017), Adventure| Horror| Sci-Fi| Thriller,2017,2017,Jan,USA,,5.9,108 min,English
Hell House LLC (2015), Horror| Mystery| Thriller,16-Oct-15,2015,Oct,USA,,6.4,93 min,English
Life (2017), Horror| Sci-Fi| Thriller,24-Mar-17,2017,Mar,USA,R,6.6,104 min,English|Japanese|Vietnamese
The Witch (2015), Horror| Mystery,19-Feb-16,2016,Feb,USA,R,6.8,92 min,English
Twin Peaks: The Missing Pieces (2014), Drama| Horror| Mystery| Romance| Thriller,1-Aug-14,2014,Aug,Brazil,,7.9,91 min,English|Norwegian
Cabin 28 (2017), Horror,1-Aug-17,2017,Aug,USA,NOT RATED,3.7,83 min,English
Vampire Academy (2014), Action| Comedy| Fantasy| Horror| Mystery,7-Feb-14,2014,Feb,USA,PG-13,5.6,104 min,English
